row,location_id,lat,lon,first_file,index_right,country
92,72326,39.295452,-104.822,records/csv.gz/locationid=72326/year=2023/month=10/location-72326-20231003.csv.gz,4.0,United States of America
93,232304,41.259663,-123.33122,records/csv.gz/locationid=232304/year=2023/month=10/location-232304-20231003.csv.gz,4.0,United States of America
94,232742,37.52125,-120.304474,records/csv.gz/locationid=232742/year=2023/month=10/location-232742-20231003.csv.gz,4.0,United States of America
95,223091,3.1607845,3.1607845,records/csv.gz/locationid=223091/year=2021/month=03/location-223091-20210324.csv.gz,,
96,399206,49.587254,-113.47292,records/csv.gz/locationid=399206/year=2023/month=10/location-399206-20231003.csv.gz,3.0,Canada
97,1067470,52.233334,-78.5,records/csv.gz/locationid=1067470/year=2023/month=10/location-1067470-20231003.csv.gz,3.0,Canada
98,2130594,37.768764,-122.42273,records/csv.gz/locationid=2130594/year=2024/month=03/location-2130594-20240310.csv.gz,4.0,United States of America
99,67973,37.863605,-122.2619,records/csv.gz/locationid=67973/year=2023/month=10/location-67973-20231003.csv.gz,4.0,United States of America
100,357593,37.60474,-120.96084,records/csv.gz/locationid=357593/year=2024/month=03/location-357593-20240310.csv.gz,4.0,United States of America
101,330227,15.3313442,15.3313442,records/csv.gz/locationid=330227/year=2022/month=05/location-330227-20220504.csv.gz,15.0,Chad
102,227226,33.94999,-117.696945,records/csv.gz/locationid=227226/year=2023/month=10/location-227226-20231003.csv.gz,4.0,United States of America
103,42503,-2.6114311,-2.6114311,records/csv.gz/locationid=42503/year=2020/month=12/location-42503-20201229.csv.gz,,
104,269668,38.564327,-121.45543,records/csv.gz/locationid=269668/year=2023/month=10/location-269668-20231003.csv.gz,4.0,United States of America
105,2736744,31.67248789,34.55190288,records/csv.gz/locationid=2736744/year=2024/month=04/location-2736744-20240410.csv.gz,76.0,Israel
106,65473,38.115738,-122.261444,records/csv.gz/locationid=65473/year=2023/month=10/location-65473-20231003.csv.gz,4.0,United States of America
